Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,REASON,3,I,A1,Primary reason for coming to ADC,Num,1,45,45,1,4,9,.,.,.,.,.,1,2,4,9,.,.,.,.,.,.,.,.,To participate in a research study,To have a clinical evaluation,Both (to participate in a research study and to have a clinical evaluation),Unknown,,,,,,,,,,,,,,,
2a,2,REFERSC,3,I,A1,Principal referral source:,Num,1,47,47,1,6,8,9,.,.,.,.,1,2,3,4,5,6,8,9,.,.,.,.,Self-referral,"Non-professional contact (spouse/partner, relative, friend, coworker, etc.)",ADC participant referral,"ADC clinician, staff, or investigator referral","Nurse, doctor, or other health care provider","Other research study clinician/staff/investigator (non-ADC; e.g., ADNI, Women's Health Initiative)",Other,Unknown,,,,,,,,,,"If Question 2a REFERSC = 1 (Self-referral), then continue to Question2b","If Question 2a REFERSC = 2 (Non-professional contact), then continue to Question"
2b,3,LEARNED,3,I,A1,"If the referral source was self-referral or a non-professional contact, how did the referral source learn of the ADC?",Num,1,49,49,1,4,8,9,.,.,.,.,1,2,3,4,8,9,.,.,.,.,.,.,"ADC advertisement (e.g., website, mailing, newspaper ad, community presentation)",News article or TV program mentioning the ADC study,"Conference or community event (e.g., community memory walk)","Another organizations's media appeal or website (e.g., Alzheimer's Association, clinicaltrials.gov)",Other,Unknown,,,,,,,#2a REFERSC ne 1 and #2a REFERSC ne 2,,,,,,
3,4,PRESTAT,3,I,A1,Presumed disease status at enrollment,Num,1,51,51,1,3,.,.,.,.,.,.,1,2,3,.,.,.,.,.,.,.,.,.,"Case, patient, proband",Control or normal,No presumed disease status,,,,,,,,,,,,,,,,
4,5,PRESPART,3,I,A1,Presumed participation,Num,1,53,53,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,Initial evaluation only,Longitudinal follow-up planned,,,,,,,,,,,,,,,,,
5,6,SOURCENW,3,I,A1,ADC enrollment type,Num,1,55,55,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,"Primarily ADC-funded (Clinical Core, Satellite Core, or other ADC Core or project)","Subject is supported primarily by a non-ADC study (e.g., R01, including non-ADC grants supporting the FTLD Module participation)",,,,,,,,,,,,,,,,,
6a,7,BIRTHMO,3,I,A1,Subject's month of birth,Num,2,57,58,1,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
6b,8,BIRTHYR,3,I,A1,Subject's year of birth,Num,4,60,63,1875,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
7,9,SEX,3,I,A1,Subject's sex,Num,1,65,65,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,Male,Female,,,,,,,,,,,,,,,,,
8,10,HISPANIC,3,I,A1,"Does the subject report being of Hispanic/Latino ethnicity (i.e., having origins from a mainly Spanish-speaking Latin American country), regardless of race?",Num,1,67,67,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,"If Question 8 HISPANIC = 0 (No), then skip to Question 9","If Question 8 HISPANIC = 9 (Unknown), then skip to Question 9"
8a,11,HISPOR,3,I,A1,"If yes, what are the subject's reported origins?",Num,2,69,70,1,6,50,99,.,.,.,.,1,2,3,4,5,6,50,99,.,.,.,.,"Mexican, Chicano, or Mexican-American",Puerto Rican,Cuban,Dominican,Central American,South American,Other (specify),Unknown,,,,,Blank if Question 8 HISPANIC ne 1 (Yes),,,,,,
8a1,12,HISPORX,3,I,A1,Other (specify):,Char,60,72,131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 8 HISPANIC ne 1 (Yes),Blank if Question 8a HISPOR ne 50 (Other),,,,,
9,13,RACE,3,I,A1,What does the subject report as his or her race?,Num,2,133,134,1,5,50,99,.,.,.,.,1,2,3,4,5,50,99,.,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other (specify),Unknown,,,,,,,,,,,,
9a,14,RACEX,3,I,A1,Other (specify):,Char,60,136,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 9 RACE ne 50 (Other),,,,,,
10,15,RACESEC,3,I,A1,What additional race does subject report?,Num,2,197,198,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,0,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None reported,Unknown,,,,,,,,,,,
10a,16,RACESECX,3,I,A1,Other (specify):,Char,60,200,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 10 RACESEC ne 50 (Other),,,,,,
11,17,RACETER,3,I,A1,"What additional race, beyond those reported in Questions 9 and 10, does subject report?",Num,2,261,262,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None reported,Unknown,,,,,,,,,,,
11a,18,RACETERX,3,I,A1,Other (specify):,Char,60,264,323,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 11 RACETER ne 50 (Other),,,,,,
12,19,PRIMLANG,3,I,A1,Subject's primary language:,Num,1,325,325,1,6,8,9,.,.,.,.,1,2,3,4,5,6,8,9,.,.,.,.,English,Spanish,Mandarin,Cantonese,Russian,Japanese,Other primary language (specify),Unknown,,,,,,,,,,,
12a,20,PRIMLANX,3,I,A1,Other (specify):,Char,60,327,386,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 12 PRIMLANG ne 8 (Other),,,,,,
13,21,EDUC,3,I,A1,"Subject's years of education, use the codes below to report the level achieved; if an attempted level is not completed, enter the number of years completed: 12 = high school or GED, 16 = bachelor's degree, 18 = master's degree, 20 = doctorate, 99 = Unknown",Num,2,388,389,0,36,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
14,22,MARISTAT,3,I,A1,Subject's current marital status:,Num,1,391,391,1,6,9,.,.,.,.,.,1,2,3,4,5,6,9,.,.,.,.,.,Married,Widowed,Divorced,Separated,Never married (or marriage was annulled),Living as married/domestic partner,Unknown,,,,,,,,,,,,
15,23,LIVSITUA,3,I,A1,What is the subject's living situation?,Num,1,393,393,1,6,9,.,.,.,.,.,1,2,3,4,5,6,9,.,.,.,.,.,Lives alone,Lives with one other person: a spouse or partner,"Lives with one other person: a relative, friend, or roommate","Lives with caregiver who is not spouse/partner, relative, or friend",Lives with a group (related or not related) in a private residence,"Lives in a group home (e.g., assisted living, nursing home, convent)",Unknown,,,,,,,,,,,,
16,24,INDEPEND,3,I,A1,What is the subject's level of independence?,Num,1,395,395,1,4,9,.,.,.,.,.,1,2,3,4,9,.,.,.,.,.,.,.,Able to live independently,Requires some assistance with complex activities,Requires some assistance with basic activities,Completely dependent,Unknown,,,,,,,,,,,,,,
17,25,RESIDENC,3,I,A1,What is the subject's primary type of residence?,Num,1,397,397,1,4,9,.,.,.,.,.,1,2,3,4,9,.,.,.,.,.,.,.,"Single- or multi-family private residence (apartment, condo, house)",Retirement community or independent group living,"Assisted living, adult family home, or boarding home","Skilled nursing facility, nursing home, hospital, or hospice",Unknown,,,,,,,,,,,,,,
18,26,ZIP,3,I,A1,ZIP Code (first three digits) of subject's primary residence:,Char,3,399,401,6,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 18 ZIP is unknown,,,,,,
19,27,HANDED,3,I,A1,"Is the subject left- or right-handed (for example, which hand would s/he normally use to write or throw a ball)?",Num,1,403,403,1,3,9,.,.,.,.,.,1,2,3,9,.,.,.,.,.,.,.,.,Left-handed,Right-handed,Ambidextrous,Unknown,,,,,,,,,,,,,,,
