Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1a,1,INBIRMO,3,I,A2,Co-participant's month of birth:,Num,2,45,46,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
1b,2,INBIRYR,3,I,A2,Co-participant's year of birth,Num,4,48,51,1875,1999,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,,,,,,,
2,3,INSEX,3,I,A2,Co-participant's sex:,Num,1,53,53,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,Male,Female,,,,,,,,,,,,,,,,,
3,4,INHISP,3,I,A2,"Does the co-participant report being of Hispanic/Latino ethnicity (i.e., having origins from mainly Spanish-speaking Latin American country), regardless of race?",Num,1,55,55,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,,,,,,"If Question 3 INHISP = 0 (No), then skip to Question 4","If Question 3 INHISP = 9 (Unknown), then skip to Question 4"
3a,5,INHISPOR,3,I,A2,"If yes, what are the co-participant's reported origins?",Num,2,57,58,1,6,50,99,.,.,.,.,1,2,3,4,5,6,50,99,.,.,.,.,"Mexican, Chincano, or Mexican-American",Puerto Rican,Cuban,Dominican,Central American,South American,Other (specify),Unknown,,,,,Blank if Question 3 INHISP ne 1 (Yes),,,,,,
3a1,6,INHISPOX,3,I,A2,Other (specify):,Char,60,60,119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 3a INHISPOR ne 50 (Other),,,,,,
4,7,INRACE,3,I,A2,What does the co-participant report as his or her race?,Num,2,121,122,1,5,50,99,.,.,.,.,1,2,3,4,5,50,99,.,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other (specify),Unknown,,,,,,,,,,,,
4a,8,INRACEX,3,I,A2,Other (specify):,Char,60,124,183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 4 INRACE ne 50 (Other),,,,,,
5,9,INRASEC,3,I,A2,What additional race does co-participant report?,Num,2,185,186,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None reported,Unknown,,,,,,,,,,,
5a,10,INRASECX,3,I,A2,Other (specify),Char,60,188,247,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 5 INRASEC ne 50 (Other),,,,,,
6,11,INRATER,3,I,A2,"What additional race, beyond those reported in Questions 4 and 5, does the co-participant report?",Num,2,249,250,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None Reported,Unknown,,,,,,,,,,,
6a,12,INRATERX,3,I,A2,Other (specify),Char,60,252,311,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 INRATER ne 50 (Other),,,,,,
7,13,INEDUC,3,I,A2,"Co-participant's years of education - use the codes below to report the level achieved; if an attempted level is not completed, enter the number of years completed:",Num,2,313,314,0,36,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
8,14,INRELTO,3,I,A2,What is co-participant's relationship to subject?,Num,1,316,316,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,"Spouse, partner, or companion",Child,Sibling,Other relative,"Friend, neighbor, or someone known through family,friends,work,or community","Paid caregiver, health care provider, or clinician",,,,,,,,,,,,,
8a,15,INKNOWN,3,I,A2,How long has the co-participant known the subject?,Num,3,318,320,0,120,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
9,16,INLIVWTH,3,I,A2,Does the co-participant live with the subject?,Num,1,322,322,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,"If Question 9 = 1 (Yes), then skip to Question 10",
9a,17,INVISITS,3,I,A2,"If no, approximate frequency of in-person visits?",Num,1,324,324,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,Daily,At least 3 times per week,Weekly,At least 3 times per month,Monthly,Less than once a month,,,,,,,Blank if Question 9 INLIVWTH ne 1 (Yes),,,,,,
9b,18,INCALLS,3,I,A2,"If no, approximate frequency of telephone contact?",Num,1,326,326,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,Daily,At least 3 times per week,Weekly,At least 3 times per month,Monthly,Less than once a month,,,,,,,Blank if Question 9 INLIVWTH ne 1 (Yes),,,,,,
10,19,INRELY,3,I,A2,Is there a question about the co-participant's reliability?,Num,1,328,328,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
