Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1,1,DECSUB,3,I,B9,Does the subject report a decline in memory (relative to previously attained abilities)?,Num,1,45,45,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Could not be assessed/subject too impaired,,,,,,,,,,,,,,,,
2,2,DECIN,3,I,B9,Does the co-participant report a decline in subject's memory (relative to previously attained abilities)?,Num,1,47,47,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,There is no co-participant,,,,,,,,,,,,,,,,
3,3,DECCLCOG,3,I,B9,"Based on the clinician's judgment, is the subject currently experiencing meaningful impairment in cognition or difficulty in managing his/her affairs?",Num,1,49,49,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,"If Question 3 DECCLCOG = 0 (No), then skip to Question 8",
4a,4,COGMEM,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in memory",Num,1,51,51,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4b,5,COGORI,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in orientation",Num,1,53,53,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4c,6,COGJUDG,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in executive function - judgment, planning, or problem-solving",Num,1,55,55,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4d,7,COGLANG,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in language",Num,1,57,57,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4e,8,COGVIS,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in visuospatial function",Num,1,59,59,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4f,9,COGATTN,3,I,B9,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in attention or concentration",Num,1,61,61,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
4g,10,COGFLUC,3,I,B9,Indicate whether the subject currently has fluctuating cognition,Num,1,63,63,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 DECCLCOG = 0 (No),,,,,,
