Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
1a,1,INBIRMO,3,F,A2,Co-participant's month of birth,Num,2,45,46,1,12,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
1b,2,INBIRYR,3,F,A2,Co-participant's year of birth,Num,4,48,51,1875,1999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,,,,,,,
2,3,INSEX,3,F,A2,Co-participant's sex,Num,1,53,53,1,2,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,Male,Female,,,,,,,,,,,,,,,,,
3,4,NEWINF,3,F,A2,"Is this a new co-participant - i.e., one who was not a co-participant at any past UDS visit?",Num,1,55,55,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,"If Question 3 NEWINF = 0 (No), then skip to Question 9",
4,5,INHISP,3,F,A2,"Does the co-participant report being of Hispanic/Latino ethnicity (i.e., having origins from mainly Spanish-speaking Latin American country), regardless of race?",Num,1,57,57,0,1,9,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,Unknown,,,,,,,,,,Blank if Question 3 NEWINF = 0 (No),,,,,"If Question 4 INHISP = 0 (No), then skip to Question 5","If Question 4 INHISP = 9 (Unknown), then skip to Question 5"
4a,6,INHISPOR,3,F,A2,"If Yes, what are the co-participant's reported origins?",Num,2,59,60,1,6,50,99,.,.,.,.,1,2,3,4,5,6,50,99,.,.,.,.,"Mexican, Chincano, or Mexican-American",Puerto Rican,Cuban,Dominican,Central American,South American,Other (specify),Unknown,,,,,Blank if Question 4 INHISP ne 1 (Yes),,,,,,
4a1,7,INHISPOX,3,F,A2,Other (specify):,Char,60,62,121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 4a INHISPOR ne 50 (Other),,,,,,
5,8,INRACE,3,F,A2,What does co-participant report as his or her race?,Num,2,123,124,1,5,50,99,.,.,.,.,1,2,3,4,5,50,99,.,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other (specify),Unknown,,,,,,Blank if Question 3 NEWINF = 0 (No),,,,,,
5a,9,INRACEX,3,F,A2,Other (specify):,Char,60,126,185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 5 INRACE ne 50 (Other),,,,,,
6,10,INRASEC,3,F,A2,What additional race does co-participant report?,Num,2,187,188,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None Reported,Unknown,,,,,Blank if Question 3 NEWINF = 0 (No),,,,,,
6a,11,INRASECX,3,F,A2,Other (specify):,Char,60,190,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 INRASEC ne 50 (Other),,,,,,
7,12,INRATER,3,F,A2,"What additional race, beyond those reported in Questions 4 and 5, does the co-participant report?",Num,2,251,252,1,5,50,88,99,.,.,.,1,2,3,4,5,50,88,99,.,.,.,.,White,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Asian,Other,None Reported,Unknown,,,,,Blank if Question 3 NEWINF = 0 (No),,,,,,
7a,13,INRATERX,3,F,A2,Other (specify):,Char,60,254,313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 7 INRATER ne 50 (Other),,,,,,
8,14,INEDUC,3,F,A2,"Co-participant's years of education - use the codes below to report the level achieved; if an attempted level is not completed, enter the number of years completed",Num,2,315,316,0,36,99,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 3 NEWINF = 0 (No),,,,,,
9,15,INRELTO,3,F,A2,What is co-participant's relationship to subject?,Num,1,318,318,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,"Spouse, partner, or companion",Child,Sibling,Other relative,"Friend, neighbor, or someone known through family,friends,work,or community","Paid caregiver, health care provider, or clinician",,,,,,,,,,,,,
9a,16,INKNOWN,3,F,A2,How long has the co-participant know the subject?,Num,3,320,322,0,120,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
10,17,INLIVWTH,3,F,A2,Does the co-participant live with the subject?,Num,1,324,324,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,"If Question 10 INLIVWTH = 1 (Yes), then skip to Question 11",
10a,18,INVISITS,3,F,A2,"If no, approximate frequency of in-person visits:",Num,1,326,326,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,Daily,At least 3 times per week,Weekly,At least 3 times per month,Monthly,Less than once a month,,,,,,,Blank if Question 10 INLIVWTH ne 1 (Yes),,,,,,
10b,19,INCALLS,3,F,A2,"If no, approximate frequency of telephone contact",Num,1,328,328,1,6,.,.,.,.,.,.,1,2,3,4,5,6,.,.,.,.,.,.,Daily,At least 3 times per week,Weekly,At least 3 times per month,Monthly,Less than once a month,,,,,,,Blank if Question 10 INLIVWTH ne 1 (Yes),,,,,,
11,20,INRELY,3,F,A2,Is there a question about the co-participant's reliability?,Num,1,330,330,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
